living_arrangement,estimate_percent,standard_error_percentage_points,ci95_lower_percent,ci95_upper_percent,sample_n,weighted_n,strata_n,psu_n,singleton_strata_n
Both parents,31.36694657511585,0.585968185453787,30.230020194302927,32.52669768335708,22608,21064599.761942293,247,2913,1
Mother only,45.91571407784893,0.5440692904954133,44.85136852494727,46.98379903259306,22608,21064599.761942293,247,2913,1
Father only,4.196797235110248,0.19287938882491026,3.834618208998285,4.5915507108366915,22608,21064599.761942293,247,2913,1
Neither parent,18.520542111924968,0.3812410851597622,17.784926419575964,19.279449172052608,22608,21064599.761942293,247,2913,1
