outcome,living_arrangement,estimate_percent,standard_error_percentage_points,ci95_lower_percent,ci95_upper_percent,sample_n,weighted_n,strata_n,psu_n,singleton_strata_n
"School attendance, ages 5-17",Both parents,97.51893105044796,0.2699645507881005,96.93104859729954,97.99652748345288,4063,4591048.10378463,247,2828,2
"School attendance, ages 5-17",Mother only,96.98922086002669,0.236131309666728,96.49029002541856,97.41912215613439,7629,6820210.759636552,247,2828,2
"School attendance, ages 5-17",Father only,97.38250122671992,0.5837084667692273,95.9596422621195,98.31309245297135,747,739738.426575043,247,2828,2
"School attendance, ages 5-17",Neither parent,95.4712532180608,0.3997804662532854,94.6198510392567,96.1933424816354,4604,3221311.082060326,247,2828,2
"Grade repetition, applicable learners",Both parents,4.29337107174077,0.37294739671428373,3.619004254156779,5.086767552341373,3757,4216654.603894946,247,2828,2
"Grade repetition, applicable learners",Mother only,5.257171889994071,0.2885238331174016,4.719553526390061,5.852270399653228,7135,6371760.283211108,247,2828,2
"Grade repetition, applicable learners",Father only,5.063400533203435,0.8750345114769827,3.598672529469222,7.080512805921455,698,692252.3723690519,247,2828,2
"Grade repetition, applicable learners",Neither parent,6.605628972836743,0.4539329856850927,5.769683435822435,7.552983150030566,4269,2972365.531380725,247,2828,2
