living_arrangement,sample_n,weighted_children,mean_age,female_percent,rural_or_farm_percent,median_monthly_income_per_person,mean_household_size,food_insufficiency_percent,computer_access_percent,fixed_internet_percent
Both parents,5635,6607321.75359042,8.150048675517471,49.32849613235874,25.95453527233294,2276.6666666666665,5.318686990470856,12.053817408312756,37.77827980056015,32.46576902008299
Mother only,10586,9671961.398336673,8.194136713252723,50.44392159325404,47.28504611888528,925.0,6.84957858177415,23.304658902481883,16.262599360690672,13.213077079236694
Father only,887,884038.540396234,10.32873397565476,42.943203519366406,37.35663907702194,1551.6666666666667,6.272329842223809,22.18789339435416,26.40668444277008,21.744008060207175
Neither parent,5500,3901278.0696189688,9.977134522491086,50.893644122197436,58.556557313906,875.0,6.971067321394064,23.7954742860271,13.585306769402397,8.78274263827523
