outcome,sample_n,weighted_n,iterations,converged,weighted_log_loss,number_of_parameters,age_mean,age_sd,income_fill,log_income_mean,log_income_sd,household_size_mean,household_size_sd
"School attendance, ages 5-17",17043,15372308.372056551,9,True,0.11903095326101185,22,11.127266326350995,3.74205695046488,1088.0,7.137393591120854,1.0499748489933767,5.9982397465235,2.8590889419956382
"Grade repetition, applicable learners",15859,14253032.790855832,8,True,0.18494394750122328,22,11.281858881392269,3.5889687738458163,1086.0,7.136954352339596,1.0461873811172149,6.003405006620846,2.862311099174091
